"CODCIA","CODAGCAUSA","CAUSA","OFICIOCAUSA","FECHA_CREACION","CODPFCAUSA","ACTIVO","ESWEBCLI"
1,59,"Pedrisco-Nieve","No existen profesionales",27/12/23,88,"0","N"
1,59,"Pedrisco-Nieve","Bricolaje",27/12/23,90,"0","N"
1,59,"Pedrisco-Nieve","Brico-electrónica",27/12/23,91,"0","N"
1,60,"Restablecimiento de luz","Multiservicio",27/12/23,0,"0","N"
1,31,"Rotura de Rotulos o Letreros","Cerrajeria",27/12/23,52,"0","N"
1,31,"Rotura de Rotulos o Letreros","Electricidad Ordenadores",27/12/23,79,"0","N"
1,33,"Rotura metacrilato","Cristaleria",27/12/23,53,"1","S"
1,37,"Caída de Aeronaves y/o Astronaves","No existen profesionales",27/12/23,88,"0","N"
1,37,"Caída de Aeronaves y/o Astronaves","Bricolaje",27/12/23,90,"0","N"
1,37,"Caída de Aeronaves y/o Astronaves","Reparacion  electrodomesticos",27/12/23,82,"0","N"
1,56,"Reclamación de daños","Mármol",27/12/23,57,"0","N"
1,59,"Pedrisco-Nieve","Mármol",27/12/23,57,"0","N"
1,60,"Restablecimiento de luz","Mármol",27/12/23,57,"0","N"
1,61,"Restablecimiento de agua","Mármol",27/12/23,57,"0","N"
1,62,"Apertura de puerta","Mármol",27/12/23,57,"0","N"
1,63,"Envío profesionales","Mármol",27/12/23,57,"0","N"
1,125,"Ruina Total","Mármol",27/12/23,57,"0","N"
1,127,"Hurto o pérdida de llaves","Mármol",27/12/23,57,"0","N"
1,128,"RC Empleados domésticos","Mármol",27/12/23,57,"0","N"
1,1,"Daños Agua","Cristales vitroceramica",27/12/23,83,"0","N"
1,2,"Lluvia","Cristales vitroceramica",27/12/23,83,"0","N"
1,3,"Avería sin daños (daños agua)","Cristales vitroceramica",27/12/23,83,"0","N"
1,4,"Inundación-Desbordamiento","Cristales vitroceramica",27/12/23,83,"0","N"
1,5,"Fuga en instalación contraincendios","Cristales vitroceramica",27/12/23,83,"0","N"
1,6,"Lluvia","Cristales vitroceramica",27/12/23,83,"0","N"
1,7,"Caida de Rayo","Cristales vitroceramica",27/12/23,83,"0","N"
1,8,"Pedrisco-Nieve","Cristales vitroceramica",27/12/23,83,"0","N"
1,9,"Viento","Cristales vitroceramica",27/12/23,83,"0","N"
1,10,"Inundación-Desbordamiento","Cristales vitroceramica",27/12/23,83,"0","N"
1,11,"Choque o Impacto de Vehículos","Cristales vitroceramica",27/12/23,83,"0","N"
1,12,"Acciones Tumultuarias","Cristales vitroceramica",27/12/23,83,"0","N"
1,13,"Ondas Sónicas","Cristales vitroceramica",27/12/23,83,"0","N"
1,14,"Otros Riesgos Accidentales","Cristales vitroceramica",27/12/23,83,"0","N"
1,15,"Corrimiento de terreno","Cristales vitroceramica",27/12/23,83,"0","N"
1,16,"Actos de Vandalismo","Cristales vitroceramica",27/12/23,83,"0","N"
1,17,"Caída de Árboles-Antenas-Farolas","Cristales vitroceramica",27/12/23,83,"0","N"
1,18,"Avería sin daños (daños agua)","Cristales vitroceramica",27/12/23,83,"0","N"
1,19,"Averia de Maquinaria o Equipos Electronicos","Cristales vitroceramica",27/12/23,83,"0","N"
1,20,"Derrame Mercancias Líquidas","Cristales vitroceramica",27/12/23,83,"0","N"
1,21,"Daños Mercancia Transportada","Cristales vitroceramica",27/12/23,83,"0","N"
1,22,"Derrame Inst. fijas Extinción","Cristales vitroceramica",27/12/23,83,"0","N"
1,23,"Atraco en comercio","Cristales vitroceramica",27/12/23,83,"0","N"
1,24,"Atraco en vía pública","Cristales vitroceramica",27/12/23,83,"0","N"
1,25,"Robo","Cristales vitroceramica",27/12/23,83,"0","N"
1,26,"Actos de Vandalismo","Cristales vitroceramica",27/12/23,83,"0","N"
1,27,"Infidelidad de Empleados","Cristales vitroceramica",27/12/23,83,"0","N"
1,28,"Uso fraudulento de tarjetas","Cristales vitroceramica",27/12/23,83,"0","N"
1,29,"Rotura de Cristales o Espejos","Cristales vitroceramica",27/12/23,83,"0","N"
1,30,"Loza - Marmoles","Cristales vitroceramica",27/12/23,83,"0","N"
1,31,"Rotura de Rotulos o Letreros","Cristales vitroceramica",27/12/23,83,"0","N"
1,32,"Rotura acuario","Cristales vitroceramica",27/12/23,83,"0","N"
1,33,"Rotura metacrilato","Cristales vitroceramica",27/12/23,83,"0","N"
1,34,"Rotura de Placas Solares","Cristales vitroceramica",27/12/23,83,"0","N"
1,35,"Rotura de Placa Vitrocerámica","Cristales vitroceramica",27/12/23,83,"1","N"
1,36,"Choque o Impacto de Vehículos","Cristales vitroceramica",27/12/23,83,"0","N"
1,37,"Caída de Aeronaves y/o Astronaves","Cristales vitroceramica",27/12/23,83,"0","N"
1,38,"Caída de Árboles-Antenas-Farolas","Cristales vitroceramica",27/12/23,83,"0","N"
1,39,"Bricopartner","Cristales vitroceramica",27/12/23,83,"0","N"
1,40,"Otros servicios","Cristales vitroceramica",27/12/23,83,"0","N"
1,41,"Caida de Rayo","Cristales vitroceramica",27/12/23,83,"0","N"
1,42,"Daños Eléctricos","Cristales vitroceramica",27/12/23,83,"0","N"
1,53,"Accidentes Domesticos o por Calor","Urgencia Fontanería",27/12/23,108,"0","N"
1,16,"Actos de Vandalismo","Urgencia Fontanería",27/12/23,108,"0","N"
1,26,"Actos de Vandalismo","Urgencia Fontanería",27/12/23,108,"0","N"
1,62,"Apertura de puerta","Urgencia Fontanería",27/12/23,108,"0","N"
1,23,"Atraco en comercio","Urgencia Fontanería",27/12/23,108,"0","N"
1,24,"Atraco en vía pública","Urgencia Fontanería",27/12/23,108,"0","N"
1,19,"Averia de Maquinaria o Equipos Electronicos","Urgencia Fontanería",27/12/23,108,"0","N"
1,45,"Averia de Maquinaria o Equipos Electronicos","Urgencia Fontanería",27/12/23,108,"0","N"
1,3,"Avería sin daños (daños agua)","Urgencia Fontanería",27/12/23,108,"0","N"
1,18,"Avería sin daños (daños agua)","Urgencia Fontanería",27/12/23,108,"0","N"
1,39,"Bricopartner","Urgencia Fontanería",27/12/23,108,"0","N"
1,37,"Caída de Aeronaves y/o Astronaves","Urgencia Fontanería",27/12/23,108,"0","N"
1,17,"Caída de Árboles-Antenas-Farolas","Urgencia Fontanería",27/12/23,108,"0","N"
1,38,"Caída de Árboles-Antenas-Farolas","Urgencia Fontanería",27/12/23,108,"0","N"
1,165,"Caida de Rayo","Urgencia Fontanería",27/12/23,108,"0","N"
1,41,"Caida de Rayo","Urgencia Fontanería",27/12/23,108,"0","N"
1,7,"Caida de Rayo","Urgencia Fontanería",27/12/23,108,"0","N"
1,11,"Choque o Impacto de Vehículos","Urgencia Fontanería",27/12/23,108,"0","N"
1,146,"Actos de Vandalismo","Poceria",27/12/23,62,"0","N"
1,62,"Apertura de puerta","Poceria",27/12/23,62,"0","N"
1,132,"Apertura de puerta","Poceria",27/12/23,62,"0","N"
1,185,"Atasco - Daños Agua","Poceria",27/12/23,62,"1","N"
1,186,"Atasco - Sin Daños","Poceria",27/12/23,62,"1","N"
1,36,"Choque o Impacto de Vehículos","Urgencia Fontanería",27/12/23,108,"0","N"
1,49,"Coparticipación Comunidad","Urgencia Fontanería",27/12/23,108,"0","N"
1,15,"Corrimiento de terreno","Urgencia Fontanería",27/12/23,108,"0","N"
1,1,"Daños Agua","Urgencia Fontanería",27/12/23,108,"0","N"
1,42,"Daños Eléctricos","Urgencia Fontanería",27/12/23,108,"0","N"
1,21,"Daños Mercancia Transportada","Urgencia Fontanería",27/12/23,108,"0","N"
1,22,"Derrame Inst. fijas Extinción","Urgencia Fontanería",27/12/23,108,"0","N"
1,43,"Deterioro Alimentos Refrigerados","Urgencia Fontanería",27/12/23,108,"0","N"
1,63,"Envío profesionales","Urgencia Fontanería",27/12/23,108,"0","N"
1,44,"Equipos informáticos","Urgencia Fontanería",27/12/23,108,"0","N"
1,5,"Fuga en instalación contraincendios","Urgencia Fontanería",27/12/23,108,"0","N"
1,13,"Ondas Sónicas","Urgencia Fontanería",27/12/23,108,"0","N"
1,14,"Otros Riesgos Accidentales","Urgencia Fontanería",27/12/23,108,"0","N"
1,170,"Otros servicios","Urgencia Fontanería",27/12/23,108,"0","N"
1,40,"Otros servicios","Urgencia Fontanería",27/12/23,108,"0","N"
1,59,"Pedrisco-Nieve","Urgencia Fontanería",27/12/23,108,"0","N"
1,35,"Rotura de Placa Vitrocerámica","Urgencia Fontanería",27/12/23,108,"0","N"
1,179,"Rotura de Placas Solares","Urgencia Fontanería",27/12/23,108,"0","N"
1,34,"Rotura de Placas Solares","Urgencia Fontanería",27/12/23,108,"0","N"
1,176,"Rotura de Rotulos o Letreros","Urgencia Fontanería",27/12/23,108,"0","N"
1,51,"Uso fraudulento de tarjetas","Urgencia Fontanería",27/12/23,108,"0","N"
1,28,"Uso fraudulento de tarjetas","Urgencia Fontanería",27/12/23,108,"0","N"
1,184,"Viento","Urgencia Fontanería",03/01/24,108,"0","N"
1,9,"Viento","Urgencia Fontanería",03/01/24,108,"0","N"
1,53,"Accidentes Domesticos o por Calor","Urgencia Cerrajería",27/12/23,111,"0","N"
1,52,"Accidentes Personales","Urgencia Cerrajería",27/12/23,111,"0","N"
1,12,"Acciones Tumultuarias","Urgencia Cerrajería",27/12/23,111,"0","N"
1,16,"Actos de Vandalismo","Urgencia Cerrajería",27/12/23,111,"0","N"
1,26,"Actos de Vandalismo","Urgencia Cerrajería",27/12/23,111,"0","N"
1,62,"Apertura de puerta","Urgencia Cerrajería",27/12/23,111,"0","N"
1,23,"Atraco en comercio","Urgencia Cerrajería",27/12/23,111,"0","N"
1,19,"Averia de Maquinaria o Equipos Electronicos","Urgencia Cerrajería",27/12/23,111,"0","N"
1,45,"Averia de Maquinaria o Equipos Electronicos","Urgencia Cerrajería",27/12/23,111,"0","N"
1,3,"Avería sin daños (daños agua)","Urgencia Cerrajería",27/12/23,111,"0","N"
1,18,"Avería sin daños (daños agua)","Urgencia Cerrajería",27/12/23,111,"0","N"
1,39,"Bricopartner","Urgencia Cerrajería",27/12/23,111,"0","N"
1,178,"Rotura metacrilato","Urgencia Cerrajería",27/12/23,111,"0","N"
1,62,"Apertura de puerta","Urgencia Electricidad",27/12/23,109,"0","N"
1,23,"Atraco en comercio","Urgencia Electricidad",27/12/23,109,"0","N"
1,24,"Atraco en vía pública","Urgencia Electricidad",27/12/23,109,"0","N"
1,19,"Averia de Maquinaria o Equipos Electronicos","Urgencia Electricidad",27/12/23,109,"0","N"
1,45,"Averia de Maquinaria o Equipos Electronicos","Urgencia Electricidad",27/12/23,109,"0","N"
1,3,"Avería sin daños (daños agua)","Urgencia Electricidad",27/12/23,109,"0","N"
1,18,"Avería sin daños (daños agua)","Urgencia Electricidad",27/12/23,109,"0","N"
1,39,"Bricopartner","Urgencia Electricidad",27/12/23,109,"0","N"
1,37,"Caída de Aeronaves y/o Astronaves","Urgencia Electricidad",27/12/23,109,"0","N"
1,17,"Caída de Árboles-Antenas-Farolas","Urgencia Electricidad",27/12/23,109,"0","N"
1,38,"Caída de Árboles-Antenas-Farolas","Urgencia Electricidad",27/12/23,109,"0","N"
1,165,"Caida de Rayo","Urgencia Electricidad",27/12/23,109,"0","N"
1,41,"Caida de Rayo","Urgencia Electricidad",27/12/23,109,"0","N"
1,7,"Caida de Rayo","Urgencia Electricidad",27/12/23,109,"0","N"
1,11,"Choque o Impacto de Vehículos","Urgencia Electricidad",27/12/23,109,"0","N"
1,15,"Corrimiento de terreno","Urgencia Electricidad",27/12/23,109,"0","N"
1,1,"Daños Agua","Urgencia Electricidad",27/12/23,109,"0","N"
1,42,"Daños Eléctricos","Urgencia Electricidad",27/12/23,109,"0","N"
1,21,"Daños Mercancia Transportada","Urgencia Electricidad",27/12/23,109,"0","N"
1,22,"Derrame Inst. fijas Extinción","Urgencia Electricidad",27/12/23,109,"0","N"
1,20,"Derrame Mercancias Líquidas","Urgencia Electricidad",27/12/23,109,"0","N"
1,43,"Deterioro Alimentos Refrigerados","Urgencia Electricidad",27/12/23,109,"0","N"
1,63,"Envío profesionales","Urgencia Electricidad",27/12/23,109,"0","N"
1,44,"Equipos informáticos","Urgencia Electricidad",27/12/23,109,"0","N"
1,48,"Explosion","Urgencia Electricidad",27/12/23,109,"0","N"
1,5,"Fuga en instalación contraincendios","Urgencia Electricidad",27/12/23,109,"0","N"
1,47,"Humo","Urgencia Electricidad",27/12/23,109,"0","N"
1,164,"Hurto o pérdida de llaves","Urgencia Electricidad",27/12/23,109,"0","N"
1,127,"Hurto o pérdida de llaves","Urgencia Electricidad",27/12/23,109,"0","N"
1,46,"Incendio","Urgencia Electricidad",27/12/23,109,"0","N"
1,27,"Infidelidad de Empleados","Urgencia Electricidad",27/12/23,109,"0","N"
1,50,"Infidelidad de Empleados","Urgencia Electricidad",27/12/23,109,"0","N"
1,54,"Inhabilitabilidad por decisión de la autoridad","Urgencia Electricidad",27/12/23,109,"0","N"
1,183,"Inhabilitabilidad por decisión de la autoridad","Urgencia Electricidad",27/12/23,109,"0","N"
1,173,"Reclamación de daños","Urgencia Electricidad",27/12/23,109,"0","N"
1,174,"Responsabilidad Civil","Urgencia Electricidad",27/12/23,109,"0","N"
1,55,"Responsabilidad Civil","Urgencia Electricidad",27/12/23,109,"0","N"
1,61,"Restablecimiento de agua","Urgencia Electricidad",27/12/23,109,"0","N"
1,177,"Rotura acuario","Urgencia Electricidad",27/12/23,109,"0","N"
1,32,"Rotura acuario","Urgencia Electricidad",27/12/23,109,"0","N"
1,29,"Rotura de Cristales o Espejos","Urgencia Electricidad",27/12/23,109,"0","N"
1,180,"Rotura de Placa Vitrocerámica","Urgencia Electricidad",27/12/23,109,"0","N"
1,179,"Rotura de Placas Solares","Urgencia Electricidad",27/12/23,109,"0","N"
1,54,"Inhabilitabilidad por decisión de la autoridad","Urgencia Cerrajería",27/12/23,111,"0","N"
1,183,"Inhabilitabilidad por decisión de la autoridad","Urgencia Cerrajería",27/12/23,111,"0","N"
1,4,"Inundación-Desbordamiento","Urgencia Cerrajería",27/12/23,111,"0","N"
1,10,"Inundación-Desbordamiento","Urgencia Cerrajería",27/12/23,111,"0","N"
1,2,"Lluvia","Urgencia Cerrajería",27/12/23,111,"0","N"
1,6,"Lluvia","Urgencia Cerrajería",27/12/23,111,"0","N"
1,166,"Loza - Marmoles","Urgencia Cerrajería",27/12/23,111,"0","N"
1,30,"Loza - Marmoles","Urgencia Cerrajería",27/12/23,111,"0","N"
1,167,"Ondas Sónicas","Urgencia Cerrajería",27/12/23,111,"0","N"
1,13,"Ondas Sónicas","Urgencia Cerrajería",27/12/23,111,"0","N"
1,23,"Atraco en comercio","Poceria",27/12/23,62,"0","N"
1,14,"Otros Riesgos Accidentales","Urgencia Cerrajería",27/12/23,111,"0","N"
1,170,"Otros servicios","Urgencia Cerrajería",27/12/23,111,"0","N"
1,40,"Otros servicios","Urgencia Cerrajería",27/12/23,111,"0","N"
1,59,"Pedrisco-Nieve","Urgencia Cerrajería",27/12/23,111,"0","N"
1,8,"Pedrisco-Nieve","Urgencia Cerrajería",27/12/23,111,"0","N"
1,128,"RC Empleados domésticos","Urgencia Cerrajería",27/12/23,111,"0","N"
1,172,"RC Empleados domésticos","Urgencia Cerrajería",27/12/23,111,"0","N"
1,56,"Reclamación de daños","Urgencia Cerrajería",27/12/23,111,"0","N"
1,173,"Reclamación de daños","Urgencia Cerrajería",27/12/23,111,"0","N"
1,174,"Responsabilidad Civil","Urgencia Cerrajería",27/12/23,111,"0","N"
1,55,"Responsabilidad Civil","Urgencia Cerrajería",27/12/23,111,"0","N"
1,61,"Restablecimiento de agua","Urgencia Cerrajería",27/12/23,111,"0","N"
1,60,"Restablecimiento de luz","Urgencia Cerrajería",27/12/23,111,"0","N"
1,25,"Robo","Urgencia Cerrajería",27/12/23,111,"0","N"
1,175,"Robo","Urgencia Cerrajería",27/12/23,111,"0","N"
1,177,"Rotura acuario","Urgencia Cerrajería",27/12/23,111,"0","N"
1,32,"Rotura acuario","Urgencia Cerrajería",27/12/23,111,"0","N"
1,29,"Rotura de Cristales o Espejos","Urgencia Cerrajería",27/12/23,111,"0","N"
1,180,"Rotura de Placa Vitrocerámica","Urgencia Cerrajería",27/12/23,111,"0","N"
1,35,"Rotura de Placa Vitrocerámica","Urgencia Cerrajería",27/12/23,111,"0","N"
1,179,"Rotura de Placas Solares","Urgencia Cerrajería",27/12/23,111,"0","N"
1,34,"Rotura de Placas Solares","Urgencia Cerrajería",27/12/23,111,"0","N"
1,176,"Rotura de Rotulos o Letreros","Urgencia Cerrajería",27/12/23,111,"0","N"
1,31,"Rotura de Rotulos o Letreros","Urgencia Cerrajería",27/12/23,111,"0","N"
1,33,"Rotura metacrilato","Urgencia Cerrajería",27/12/23,111,"0","N"
1,125,"Ruina Total","Urgencia Cerrajería",27/12/23,111,"0","N"
1,181,"Ruina Total","Urgencia Cerrajería",27/12/23,111,"0","N"
1,51,"Uso fraudulento de tarjetas","Urgencia Cerrajería",27/12/23,111,"0","N"
1,28,"Uso fraudulento de tarjetas","Urgencia Cerrajería",27/12/23,111,"0","N"
1,184,"Viento","Urgencia Cerrajería",27/12/23,111,"0","N"
1,9,"Viento","Urgencia Cerrajería",27/12/23,111,"0","N"
1,4,"Inundación-Desbordamiento","Urgencia Electricidad",27/12/23,109,"0","N"
1,10,"Inundación-Desbordamiento","Urgencia Electricidad",27/12/23,109,"0","N"
1,2,"Lluvia","Urgencia Electricidad",27/12/23,109,"0","N"
1,6,"Lluvia","Urgencia Electricidad",27/12/23,109,"0","N"
1,166,"Loza - Marmoles","Urgencia Electricidad",27/12/23,109,"0","N"
1,30,"Loza - Marmoles","Urgencia Electricidad",27/12/23,109,"0","N"
1,167,"Ondas Sónicas","Urgencia Electricidad",27/12/23,109,"0","N"
1,13,"Ondas Sónicas","Urgencia Electricidad",27/12/23,109,"0","N"
1,14,"Otros Riesgos Accidentales","Urgencia Electricidad",27/12/23,109,"0","N"
1,170,"Otros servicios","Urgencia Electricidad",27/12/23,109,"0","N"
1,40,"Otros servicios","Urgencia Electricidad",27/12/23,109,"0","N"
1,59,"Pedrisco-Nieve","Urgencia Electricidad",27/12/23,109,"0","N"
1,8,"Pedrisco-Nieve","Urgencia Electricidad",27/12/23,109,"0","N"
1,128,"RC Empleados domésticos","Urgencia Electricidad",27/12/23,109,"0","N"
1,172,"RC Empleados domésticos","Urgencia Electricidad",27/12/23,109,"0","N"
1,35,"Rotura de Placa Vitrocerámica","Urgencia Electricidad",27/12/23,109,"0","N"
1,34,"Rotura de Placas Solares","Urgencia Electricidad",27/12/23,109,"0","N"
1,176,"Rotura de Rotulos o Letreros","Urgencia Electricidad",27/12/23,109,"0","N"
1,31,"Rotura de Rotulos o Letreros","Urgencia Electricidad",27/12/23,109,"0","N"
1,178,"Rotura metacrilato","Urgencia Electricidad",27/12/23,109,"0","N"
1,33,"Rotura metacrilato","Urgencia Electricidad",27/12/23,109,"0","N"
1,125,"Ruina Total","Urgencia Electricidad",27/12/23,109,"0","N"
1,181,"Ruina Total","Urgencia Electricidad",27/12/23,109,"0","N"
1,51,"Uso fraudulento de tarjetas","Urgencia Electricidad",27/12/23,109,"0","N"
1,28,"Uso fraudulento de tarjetas","Urgencia Electricidad",27/12/23,109,"0","N"
1,184,"Viento","Urgencia Electricidad",03/01/24,109,"0","N"
1,9,"Viento","Urgencia Electricidad",03/01/24,109,"0","N"
1,53,"Accidentes Domesticos o por Calor","Urgencia Cristalería",27/12/23,110,"0","N"
1,52,"Accidentes Personales","Urgencia Cristalería",27/12/23,110,"0","N"
1,12,"Acciones Tumultuarias","Urgencia Cristalería",27/12/23,110,"0","N"
1,16,"Actos de Vandalismo","Urgencia Cristalería",27/12/23,110,"0","N"
1,26,"Actos de Vandalismo","Urgencia Cristalería",27/12/23,110,"0","N"
1,62,"Apertura de puerta","Urgencia Cristalería",27/12/23,110,"0","N"
1,23,"Atraco en comercio","Urgencia Cristalería",27/12/23,110,"0","N"
1,24,"Atraco en vía pública","Urgencia Cristalería",27/12/23,110,"0","N"
1,19,"Averia de Maquinaria o Equipos Electronicos","Urgencia Cristalería",27/12/23,110,"0","N"
1,45,"Averia de Maquinaria o Equipos Electronicos","Urgencia Cristalería",27/12/23,110,"0","N"
1,3,"Avería sin daños (daños agua)","Urgencia Cristalería",27/12/23,110,"0","N"
1,18,"Avería sin daños (daños agua)","Urgencia Cristalería",27/12/23,110,"0","N"
1,39,"Bricopartner","Urgencia Cristalería",27/12/23,110,"0","N"
1,37,"Caída de Aeronaves y/o Astronaves","Urgencia Cristalería",27/12/23,110,"0","N"
1,17,"Caída de Árboles-Antenas-Farolas","Urgencia Cristalería",27/12/23,110,"0","N"
1,38,"Caída de Árboles-Antenas-Farolas","Urgencia Cristalería",27/12/23,110,"0","N"
1,165,"Caida de Rayo","Urgencia Cristalería",27/12/23,110,"0","N"
1,41,"Caida de Rayo","Urgencia Cristalería",27/12/23,110,"0","N"
1,7,"Caida de Rayo","Urgencia Cristalería",27/12/23,110,"0","N"
1,11,"Choque o Impacto de Vehículos","Urgencia Cristalería",27/12/23,110,"0","N"
1,36,"Choque o Impacto de Vehículos","Urgencia Cristalería",27/12/23,110,"0","N"
1,49,"Coparticipación Comunidad","Urgencia Cristalería",27/12/23,110,"0","N"
1,15,"Corrimiento de terreno","Urgencia Cristalería",27/12/23,110,"0","N"
1,1,"Daños Agua","Urgencia Cristalería",27/12/23,110,"0","N"
1,42,"Daños Eléctricos","Urgencia Cristalería",27/12/23,110,"0","N"
1,21,"Daños Mercancia Transportada","Urgencia Cristalería",27/12/23,110,"0","N"
1,22,"Derrame Inst. fijas Extinción","Urgencia Cristalería",27/12/23,110,"0","N"
1,37,"Caída de Aeronaves y/o Astronaves","Urgencia Cerrajería",27/12/23,111,"0","N"
1,17,"Caída de Árboles-Antenas-Farolas","Urgencia Cerrajería",27/12/23,111,"0","N"
1,53,"Accidentes Domesticos o por Calor","Urgencia Electricidad",27/12/23,109,"0","N"
1,52,"Accidentes Personales","Urgencia Electricidad",27/12/23,109,"0","N"
1,12,"Acciones Tumultuarias","Urgencia Electricidad",27/12/23,109,"0","N"
1,16,"Actos de Vandalismo","Urgencia Electricidad",27/12/23,109,"0","N"
1,26,"Actos de Vandalismo","Urgencia Electricidad",27/12/23,109,"0","N"
1,60,"Restablecimiento de luz","Urgencia Electricidad",27/12/23,109,"0","N"
1,25,"Robo","Urgencia Electricidad",27/12/23,109,"0","N"
1,175,"Robo","Urgencia Electricidad",27/12/23,109,"0","N"
1,20,"Derrame Mercancias Líquidas","Urgencia Cristalería",27/12/23,110,"0","N"
1,43,"Deterioro Alimentos Refrigerados","Urgencia Cristalería",27/12/23,110,"0","N"
1,63,"Envío profesionales","Urgencia Cristalería",27/12/23,110,"0","N"
